------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 20, Fitness: 5247.00, Best Genome: \w\w\w\w., Time Elapsed 11.56
Generation 21, Fitness: 5247.00, Best Genome: \w\w\w\w., Time Elapsed 11.25
Generation 22, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 11.71
Generation 23, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 11.82
Generation 24, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.02
Generation 25, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.28
Generation 26, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 11.87
Generation 27, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 13.18
Generation 28, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.47
Generation 29, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.01
Generation 30, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.45
Generation 31, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.53
Generation 32, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.59
Generation 33, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.58
Generation 34, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.27
Generation 35, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.92
Generation 36, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.96
Generation 37, Fitness: 5051.00, Best Genome: \w .\w+, Time Elapsed 12.70
Generation 38, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 13.37
Generation 39, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 14.15
Generation 40, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 13.52
Generation 41, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 12.43
Generation 42, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 13.43
Generation 43, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 12.47
Generation 44, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 12.69
Generation 45, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 14.61
Generation 46, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 17.20
Generation 47, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 14.04
Generation 48, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 13.83
Generation 49, Fitness: 4973.00, Best Genome: \w\w\w\w\w., Time Elapsed 14.11
------------------------- 
Mean Num Genes: 3 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5807.00, Best Genome:  M|\w[^F][nI], Time Elapsed 2.64
Generation 1, Fitness: 5807.00, Best Genome:  M|\w[^F][nI], Time Elapsed 3.10
Generation 2, Fitness: 5807.00, Best Genome:  M|\w[^F][nI], Time Elapsed 3.47
Generation 3, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 3.79
Generation 4, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 4.18
Generation 5, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 4.35
Generation 6, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 4.58
Generation 7, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 4.80
Generation 8, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 4.98
Generation 9, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 5.24
Generation 10, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 5.69
Generation 11, Fitness: 5706.00, Best Genome: [A-Z][^3++], Time Elapsed 6.24
Generation 12, Fitness: 5566.00, Best Genome: \we.\w(.), Time Elapsed 6.04
Generation 13, Fitness: 5566.00, Best Genome: \we.\w(.), Time Elapsed 5.89
Generation 14, Fitness: 5566.00, Best Genome: \we.\w(.), Time Elapsed 6.31
Generation 15, Fitness: 5566.00, Best Genome: \we.\w(.), Time Elapsed 6.56
Generation 16, Fitness: 5566.00, Best Genome: \we.\w(.), Time Elapsed 6.41
Generation 17, Fitness: 5566.00, Best Genome: \we.\w(.), Time Elapsed 6.81
Generation 18, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 6.72
Generation 19, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 6.76
Generation 20, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 7.06
Generation 21, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 7.05
Generation 22, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 7.29
Generation 23, Fitness: 5461.00, Best Genome: (\w)\w\w(\w), Time Elapsed 7.76
Generation 24, Fitness: 5461.00, Best Genome: (\w)\w\w(\w), Time Elapsed 9.56
Generation 25, Fitness: 5461.00, Best Genome: (\w)\w\w(\w), Time Elapsed 11.69
Generation 26, Fitness: 5461.00, Best Genome: (\w)\w\w(\w), Time Elapsed 9.57
------------------------- 
Mean Num Genes: 3 Mean Gene Length: 4 
 -------------------------
Generation 0, Fitness: 6132.00, Best Genome: \wg[^k].\w, Time Elapsed 1.62
Generation 1, Fitness: 5978.00, Best Genome: ( )[^#][\w], Time Elapsed 2.09
Generation 2, Fitness: 5810.00, Best Genome: [^y]. \w, Time Elapsed 2.28
Generation 3, Fitness: 5810.00, Best Genome: [^y]. \w, Time Elapsed 2.95
Generation 4, Fitness: 5810.00, Best Genome: [^y]. \w, Time Elapsed 3.36
Generation 5, Fitness: 5791.00, Best Genome: \w. \w, Time Elapsed 4.06
Generation 6, Fitness: 5553.00, Best Genome: \w [^k].\w, Time Elapsed 4.74
Generation 7, Fitness: 5543.00, Best Genome: \w [^A)].\w, Time Elapsed 4.99
Generation 8, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 4.97
Generation 9, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 5.17
Generation 10, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 5.33
Generation 11, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 5.62
Generation 12, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 5.98
Generation 13, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 6.06
Generation 14, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 6.47
Generation 15, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 7.20
Generation 16, Fitness: 4882.00, Best Genome: [A-Z][^ ]\w\w, Time Elapsed 7.63
------------------------- 
Mean Num Genes: 3 Mean Gene Length: 6 
 -------------------------
Generation 0, Fitness: 5825.00, Best Genome: \dJ.|[^:]\w[ ], Time Elapsed 1.18
Generation 1, Fitness: 5825.00, Best Genome: \dJ.|[^:]\w[ ], Time Elapsed 1.52
Generation 2, Fitness: 5825.00, Best Genome: \dJ.|[^:]\w[ ], Time Elapsed 1.60
Generation 3, Fitness: 5825.00, Best Genome: \dJ.|[^:]\w[ ], Time Elapsed 2.23
Generation 4, Fitness: 5825.00, Best Genome: \d A-Z|[^:]\w[ ], Time Elapsed 2.61
Generation 5, Fitness: 5814.00, Best Genome: \d A-Z|\w\w[ ], Time Elapsed 3.32
Generation 6, Fitness: 5814.00, Best Genome: \d A-Z|\w\w[ ], Time Elapsed 3.87
Generation 7, Fitness: 5682.00, Best Genome: [^p][^:]\w[ ], Time Elapsed 4.48
Generation 8, Fitness: 5682.00, Best Genome: [^p][^:]\w[ ], Time Elapsed 5.05
Generation 9, Fitness: 5682.00, Best Genome: [^p][^:]\w[ ], Time Elapsed 5.65
Generation 10, Fitness: 5682.00, Best Genome: [^p][^:]\w[ ], Time Elapsed 5.88
Generation 11, Fitness: 5682.00, Best Genome: [^p][^:]\w[ ], Time Elapsed 6.20
Generation 12, Fitness: 5682.00, Best Genome: [^p][^:]\w[ ], Time Elapsed 6.59
Generation 13, Fitness: 5682.00, Best Genome: [^p][^:]\w[ ], Time Elapsed 6.84
Generation 14, Fitness: 5682.00, Best Genome: [^p][^:]\w[ ], Time Elapsed 6.83
Generation 15, Fitness: 5641.00, Best Genome: N\w G|\w.\w[ ], Time Elapsed 7.17
Generation 16, Fitness: 5641.00, Best Genome: N\w G|\w.\w[ ], Time Elapsed 7.64
